zip,demo,2015,2014,2013,2012,2011,2010,2009,total
60089,Black Female,0,0,0,0,0,0,0,0
60089,White Male,0,0,0,0,0,0,0,0
60089,White Female,0,0,0,0,0,0,0,0
60089,Hispanic Male,0,0,0,0,0,0,0,0
60089,Hispanic Female,0,0,0,0,0,0,0,0
60089,Asian Male,0,0,0,0,0,0,0,0
60089,Asian Female,0,0,0,0,0,0,0,0
60090,Black Male,0,0,1,0,0,0,0,1
60090,Black Female,0,0,0,0,0,0,0,0
60090,White Male,0,0,0,0,0,1,0,1
60090,White Female,0,0,0,0,0,0,0,0
60090,Hispanic Male,0,0,0,1,2,1,1,5
60090,Hispanic Female,0,0,1,0,0,0,0,1
60090,Asian Male,0,0,0,0,0,0,0,0
60090,Asian Female,0,0,0,0,0,0,0,0
60091,Black Male,0,0,0,0,0,0,0,0
60091,Black Female,0,0,0,0,0,0,0,0
60091,White Male,0,0,1,0,0,0,0,1
60091,White Female,0,0,0,0,0,0,0,0
60091,Hispanic Male,0,0,0,0,0,0,0,0
60091,Hispanic Female,0,0,0,0,0,0,0,0
60091,Asian Male,0,0,0,0,0,0,0,0
60091,Asian Female,0,0,0,0,0,0,0,0
60097,Black Male,0,0,0,1,0,0,0,1
60097,Black Female,0,0,0,0,0,0,0,0
60097,White Male,0,0,0,0,0,0,0,0
60097,White Female,0,0,0,0,0,0,0,0
60097,Hispanic Male,0,0,0,0,0,0,0,0
60097,Hispanic Female,0,0,0,0,0,0,0,0
60097,Asian Male,0,0,0,0,0,0,0,0
60097,Asian Female,0,0,0,0,0,0,0,0
60098,Black Male,0,0,0,0,0,0,0,0
60098,Black Female,0,0,0,0,0,0,0,0
60098,White Male,0,0,0,0,0,0,0,0
60098,White Female,0,0,0,0,0,0,0,0
60098,Hispanic Male,0,1,0,0,0,0,0,1
60098,Hispanic Female,0,0,0,0,0,0,0,0
60098,Asian Male,0,0,0,0,0,0,0,0
60098,Asian Female,0,0,0,0,0,0,0,0
60099,Black Male,0,0,1,0,1,0,0,2
60099,Black Female,0,0,0,0,0,0,0,0
60099,White Male,0,0,0,0,0,1,0,1
60099,White Female,0,0,0,0,0,0,0,0
60099,Hispanic Male,0,0,0,0,0,0,0,0
60099,Hispanic Female,0,0,0,0,0,0,0,0
60099,Asian Male,0,0,0,0,0,0,0,0
60099,Asian Female,0,0,0,0,0,0,0,0
60103,Black Male,0,0,0,0,0,0,0,0
60103,Black Female,0,0,0,0,0,0,0,0
60103,White Male,0,0,0,0,0,0,0,0
60103,White Female,0,0,0,0,0,0,0,0
60103,Hispanic Male,0,0,0,0,0,0,1,1
60103,Hispanic Female,0,0,0,0,0,0,0,0
60103,Asian Male,0,0,0,0,0,0,0,0
60103,Asian Female,0,0,0,0,0,0,0,0
60104,Black Male,0,0,0,1,1,0,2,4
60104,Black Female,0,0,0,0,0,0,1,1
60104,White Male,0,0,0,0,0,0,0,0
60104,White Female,0,0,0,0,0,0,0,0
60104,Hispanic Male,0,0,0,0,0,0,0,0
60104,Hispanic Female,0,0,0,0,0,0,0,0
60104,Asian Male,0,0,0,0,0,0,0,0
60104,Asian Female,0,0,0,0,0,0,0,0
60106,Black Male,0,0,0,0,0,0,0,0
60106,Black Female,0,0,0,0,0,0,0,0
60106,White Male,0,0,0,0,0,0,0,0
60106,White Female,0,0,0,0,0,0,0,0
60106,Hispanic Male,0,1,0,0,0,0,0,1
60106,Hispanic Female,0,0,0,0,0,0,0,0
60106,Asian Male,0,0,0,0,0,0,0,0
60106,Asian Female,0,0,0,0,0,0,0,0
